geneID_A	geneID_B	origins
5687	5696	Lit-BM-13|CoFrac
5689	5696	Lit-BM-13|CoFrac
5692	5696	Lit-BM-13|CoFrac
5695	5696	Lit-BM-13|CoFrac
5687	5694	Lit-BM-13|CoFrac
5689	5694	BioPlex|CoFrac
5692	5694	BioPlex|CoFrac|QUBIC
5690	5694	BioPlex|CoFrac
5693	5694	Lit-BM-13|CoFrac|QUBIC
5691	5694	Lit-BM-13|BioPlex
5694	5695	Lit-BM-13|BioPlex|CoFrac
991	9184	BioPlex|QUBIC
991	7203	BioPlex|QUBIC
4141	5917	BioPlex|CoFrac
3735	4141	BioPlex|CoFrac
4141	5859	BioPlex|CoFrac
4141	51520	BioPlex|CoFrac
3735	5917	BioPlex|CoFrac
5859	5917	Lit-BM-13|BioPlex|CoFrac
3376	5917	BioPlex|CoFrac
1615	5917	BioPlex|CoFrac
5917	51520	BioPlex|CoFrac
7314	10241	BioPlex|HI-union
5885	8243	Lit-BM-13|BioPlex|CoFrac|QUBIC
5885	9126	BioPlex|CoFrac|QUBIC
9861	11047	BioPlex|CoFrac|QUBIC
5692	11047	CoFrac|QUBIC
10213	11047	BioPlex|CoFrac|QUBIC
5719	11047	BioPlex|CoFrac
5718	11047	BioPlex|CoFrac
5717	11047	BioPlex|CoFrac
11047	51377	Lit-BM-13|BioPlex|HI-union|CoFrac
5693	11047	CoFrac|QUBIC
329	79444	Lit-BM-13|BioPlex|HI-union
6128	6134	CoFrac|QUBIC
5685	5688	Lit-BM-13|CoFrac
5684	5688	Lit-BM-13|CoFrac
5687	5688	Lit-BM-13|CoFrac
5683	5688	Lit-BM-13|CoFrac
5682	5688	Lit-BM-13|BioPlex|CoFrac
5688	5689	Lit-BM-13|BioPlex|CoFrac
5688	5692	BioPlex|CoFrac|QUBIC
5688	5690	BioPlex|CoFrac
5688	5693	CoFrac|QUBIC
5688	5691	Lit-BM-13|BioPlex
5688	5695	BioPlex|CoFrac
5688	5698	Lit-BM-13|BioPlex|CoFrac
5684	5685	Lit-BM-13|CoFrac
5683	5685	Lit-BM-13|CoFrac
5682	5685	Lit-BM-13|BioPlex|CoFrac
5685	5689	BioPlex|CoFrac
5685	51371	Lit-BM-13|CoFrac
5685	5692	BioPlex|CoFrac|QUBIC
5685	5690	BioPlex|CoFrac
5685	5693	CoFrac|QUBIC
5685	5695	BioPlex|CoFrac
5684	5687	HI-union|CoFrac
5683	5684	Lit-BM-13|CoFrac
5682	5684	Lit-BM-13|BioPlex|HI-union|CoFrac
5684	5689	BioPlex|CoFrac
5684	5692	BioPlex|HI-union|CoFrac|QUBIC
5684	5690	BioPlex|CoFrac
5684	5693	Lit-BM-13|CoFrac|QUBIC
5684	5695	BioPlex|CoFrac
5683	5687	Lit-BM-13|CoFrac
5682	5687	Lit-BM-13|BioPlex|CoFrac
5687	5689	BioPlex|CoFrac
5687	5692	BioPlex|CoFrac|QUBIC
5687	5690	BioPlex|CoFrac
5687	5693	Lit-BM-13|CoFrac|QUBIC
5687	5695	BioPlex|CoFrac
5687	5698	BioPlex|CoFrac
5682	5686	BioPlex|CoFrac
5686	5689	BioPlex|CoFrac
5686	5692	BioPlex|CoFrac|QUBIC
5686	5690	BioPlex|CoFrac
5686	10213	CoFrac|QUBIC
5686	5693	CoFrac|QUBIC
5686	5695	BioPlex|CoFrac
5682	5683	Lit-BM-13|BioPlex|CoFrac
5683	5689	BioPlex|CoFrac
5683	5692	BioPlex|CoFrac|QUBIC
5683	5690	Lit-BM-13|BioPlex|CoFrac
5683	5693	Lit-BM-13|CoFrac|QUBIC
5683	5695	BioPlex|CoFrac
5682	5689	BioPlex|CoFrac
5682	5692	BioPlex|CoFrac|QUBIC
5682	5690	Lit-BM-13|BioPlex|CoFrac
5682	23198	BioPlex|CoFrac
5682	10213	CoFrac|QUBIC
5682	5693	Lit-BM-13|BioPlex|CoFrac|QUBIC
5682	5695	BioPlex|CoFrac
5682	5698	Lit-BM-13|BioPlex
5682	56984	BioPlex|CoFrac
7408	10006	BioPlex|HI-union
10006	10152	BioPlex|HI-union|QUBIC
6202	9045	BioPlex|CoFrac
6156	9045	BioPlex|CoFrac
9045	117246	BioPlex|CoFrac
6134	9045	CoFrac|QUBIC
7203	51514	BioPlex|QUBIC
6606	6607	BioPlex|HI-union|QUBIC
6606	8487	Lit-BM-13|HI-union|QUBIC
6607	8487	HI-union|QUBIC
10856	283899	BioPlex|QUBIC
4798	10856	BioPlex|QUBIC
60	10856	CoFrac|QUBIC
9694	93380	BioPlex|QUBIC
5217	7408	Lit-BM-13|BioPlex
7408	11116	BioPlex|HI-union
5689	51371	Lit-BM-13|BioPlex|CoFrac
5689	5692	BioPlex|HI-union|CoFrac|QUBIC
5689	5690	Lit-BM-13|BioPlex|CoFrac
5689	5717	BioPlex|CoFrac
5689	5713	BioPlex|CoFrac
5689	5693	Lit-BM-13|BioPlex|CoFrac|QUBIC
5689	5691	Lit-BM-13|BioPlex
5689	5695	Lit-BM-13|BioPlex|CoFrac
830	10540	BioPlex|QUBIC
10540	11258	BioPlex|QUBIC
1639	10540	BioPlex|CoFrac|QUBIC
9861	10213	CoFrac|QUBIC
5719	9861	CoFrac|QUBIC
5718	9861	BioPlex|CoFrac|QUBIC
5717	9861	CoFrac|QUBIC
5716	9861	CoFrac|QUBIC
5714	9861	CoFrac|QUBIC
5713	9861	BioPlex|CoFrac|QUBIC
5711	9861	BioPlex|CoFrac|QUBIC
5710	9861	CoFrac|QUBIC
5082	7203	BioPlex|HI-union|QUBIC
3735	5859	BioPlex|CoFrac
3376	3735	BioPlex|CoFrac
1615	3735	BioPlex|CoFrac
3735	51520	BioPlex|CoFrac
25842	79711	BioPlex|QUBIC
4171	25842	BioPlex|HI-union
4736	6208	BioPlex|CoFrac
4736	6156	BioPlex|CoFrac
4736	6134	CoFrac|QUBIC
3376	5859	BioPlex|CoFrac
1615	5859	BioPlex|CoFrac
5859	51520	BioPlex|CoFrac
6134	6204	CoFrac|QUBIC
6134	6205	CoFrac|QUBIC
6134	6206	CoFrac|QUBIC
6207	6208	BioPlex|CoFrac
6156	6207	BioPlex|CoFrac
6134	6207	CoFrac|QUBIC
6134	6201	CoFrac|QUBIC
6156	6202	BioPlex|CoFrac
6132	6202	BioPlex|CoFrac
6134	6202	CoFrac|QUBIC
6154	6202	BioPlex|CoFrac
6156	6203	BioPlex|CoFrac
6134	6203	CoFrac|QUBIC
6138	6208	BioPlex|CoFrac
6134	6208	CoFrac|QUBIC
6130	6156	BioPlex|CoFrac
6136	6156	BioPlex|CoFrac
6137	6156	BioPlex|CoFrac
6134	6156	CoFrac|QUBIC
6154	6156	BioPlex|CoFrac
6155	6156	BioPlex|CoFrac
6156	6175	BioPlex|CoFrac
6156	25873	BioPlex|CoFrac
28988	84461	Lit-BM-13|BioPlex
23212	117246	BioPlex|CoFrac
9933	117246	BioPlex|CoFrac
6731	117246	CoFrac|QUBIC
387	5586	Lit-BM-13|BioPlex
6134	6194	CoFrac|QUBIC
6134	6191	CoFrac|QUBIC
6134	6193	CoFrac|QUBIC
9184	22948	BioPlex|QUBIC
7203	10693	BioPlex|CoFrac
7203	10694	BioPlex|CoFrac|QUBIC
