geneID	cell_lines	descr	frac_occ	hcip_cutoff_sy5y	num_hek	num_sy5y	source	symbol	synonyms
8243	None	structural maintenance of chromosomes 1A	None	None	None	None	extended	SMC1A	CDLS2|DXS423E|SB1.8|SMC1|SMC1L1|SMC1alpha|SMCB
9126	None	structural maintenance of chromosomes 3	None	None	None	None	extended	SMC3	BAM|BMH|CDLS3|CSPG6|HCAP|SMC3L1
5693	b	proteasome subunit beta 5	1.0	90	12	6	seed	PSMB5	LMPX|MB1|X
5691	b	proteasome subunit beta 3	1.0	90	12	3	seed	PSMB3	HC10-II
5695	b	proteasome subunit beta 7	1.0	95	12	4	seed	PSMB7	Z
5698	None	proteasome subunit beta 9	None	None	None	None	extended	PSMB9	LMP2|PSMB6i|RING12|beta1i
5699	None	proteasome subunit beta 10	None	None	None	None	extended	PSMB10	LMP10|MECL1|beta2i
5966	None	REL proto-oncogene, NF-kB subunit	None	None	None	None	extended	REL	C-Rel
79892	None	minichromosome maintenance complex binding protein	None	None	None	None	extended	MCMBP	C10orf119|MCM-BP
56984	None	proteasome assembly chaperone 2	None	None	None	None	extended	PSMG2	CLAST3|HCCA3|HsT1707|MDS003|PAC2|TNFSF5IP1
8658	None	tankyrase	None	None	None	None	extended	TNKS	ARTD5|PARP-5a|PARP5A|PARPL|TIN1|TINF1|TNKS1|pART5
7431	None	vimentin	None	None	None	None	extended	VIM	CTRCT30|HEL113
1615	None	aspartyl-tRNA synthetase	None	None	None	None	extended	DARS	HBSL|aspRS
26234	None	F-box and leucine rich repeat protein 5	None	None	None	None	extended	FBXL5	FBL4|FBL5|FLR1
57175	None	coronin 1B	None	None	None	None	extended	CORO1B	CORONIN-2
10480	None	eukaryotic translation initiation factor 3 subunit M	None	None	None	None	extended	EIF3M	B5|GA17|PCID1|TANGO7|hfl-B5
9859	b	centrosomal protein 170	1.0	90	4	2	seed	CEP170	FAM68A|KAB|KIAA0470
5720	None	proteasome activator subunit 1	None	None	None	None	extended	PSME1	HEL-S-129m|IFI5111|PA28A|PA28alpha|REGalpha
25793	None	F-box protein 7	None	None	None	None	extended	FBXO7	FBX|FBX07|FBX7|PARK15|PKPS
27335	None	eukaryotic translation initiation factor 3 subunit K	None	None	None	None	extended	EIF3K	ARG134|EIF3-p28|EIF3S12|HSPC029|M9|MSTP001|PLAC-24|PLAC24|PRO1474|PTD001
118460	None	exosome component 6	None	None	None	None	extended	EXOSC6	EAP4|MTR3|Mtr3p|hMtr3p|p11
25873	None	ribosomal protein L36	None	None	None	None	extended	RPL36	L36
23521	None	ribosomal protein L13a	None	None	None	None	extended	RPL13A	L13A|TSTA1
51520	h	leucyl-tRNA synthetase	0.416666666667	NA	5	0	seed	LARS	HSPC192|ILFS1|LARS1|LEURS|LEUS|LFIS|LRS|PIG44|RNTLS|hr025Cl
7278	None	tubulin alpha 3c	None	None	None	None	extended	TUBA3C	TUBA2|bA408E5.3
8550	h	mitogen-activated protein kinase-activated protein kinase 5	0.25	NA	3	0	seed	MAPKAPK5	MAPKAP-K5|MK-5|MK5|PRAK
84461	b	neuralized E3 ubiquitin protein ligase 4	1.0	95	12	5	seed	NEURL4	-
8487	None	gem nuclear organelle associated protein 2	None	None	None	None	extended	GEMIN2	SIP1|SIP1-delta
